ID,Sales
T1188651,26538.294249594834
T1189050,35256.144885350834
T1189337,29834.224112557404
T1189632,28712.35681875294
T1190137,20580.959163279007
T1190485,25081.18511697591
T1190858,18788.623207111323
T1190913,36647.838063251314
T1191316,40335.01958676761
T1191747,38353.85684291328
T1191994,39013.27674422103
T1192593,45104.93035876895
T1193003,23126.758584903528
T1193364,28953.969055298672
T1193596,32254.02301883448
T1193974,27002.294104216686
T1194323,29548.596402583673
T1194897,23149.077917078597
T1195003,35551.33908662467
T1195619,37450.94979433201
T1195649,40991.99195361863
T1196118,44799.06897754601
T1196693,51815.753667334226
T1197098,20962.012660417866
T1197228,28196.387462212304
T1197652,28937.180186065703
T1197914,29253.373667973083
T1198478,27452.30189873934
T1198561,34200.3375184236
T1199104,25995.110872088877
T1199650,37431.156410653515
T1200016,40922.23733333746
T1200220,43765.3581673892
T1200392,36351.24602023304
T1201024,51849.693617610144
T1201210,29362.132681021296
T1201594,36842.49317266881
T1201913,31294.48846506909
T1202574,27038.823949298756
T1202829,28072.244206317064
T1203282,27100.2858414636
T1203546,22500.27816388089
T1203996,41804.73179916863
T1204117,46289.50870495292
T1204581,40800.873373188435
T1205035,41372.61678613946
T1205444,48944.80416987416
T1205787,26208.198896083002
T1205909,34728.932717400625
T1206531,36626.48454433686
T1206863,33112.937276868426
T1207091,29654.658503152707
T1207501,29009.783142658023
T1207834,23463.715664324256
T1208171,38358.58894687177
T1208477,39618.998905000015
T1209087,41996.36153753354
T1209507,44371.04442012886
T1209758,41652.41534172184
T1209964,24596.056341262556
T1210273,29700.842824892272
T1188635,42853.09122693637
T1189049,42782.50398359017
T1189079,39422.95874902677
T1189792,34274.26020715975
T1190079,28967.396447642677
T1190281,46001.84042620196
T1190669,48152.11879304856
T1190916,53317.987323478264
T1191548,60663.91549270736
T1191665,33989.882433006125
T1192247,38729.440434095224
T1192568,36906.06621271011
T1192962,36643.85721792209
T1193396,37297.04413200935
T1193574,40612.9079313172
T1193822,44476.74351207515
T1194267,47144.15565828391
T1194699,47957.35647797879
